,Close Price
1994-01-01 00:00:00.000000000,1297.77001953125
1994-04-02 13:17:21.322314050,1269.3399658203125
1994-07-03 02:34:42.644628100,1285.780029296875
1994-10-02 15:52:03.966942152,1274.4100341796875
1995-01-02 05:09:25.289256200,1388.449951171875
1995-04-03 18:26:46.611570248,1506.1500244140625
1995-07-04 07:44:07.933884304,1616.760009765625
1995-10-03 21:01:29.256198352,1693.2099609375
1996-01-03 10:18:50.578512400,1814.1400146484375
1996-04-03 23:36:11.900826448,1843.550048828125
1996-07-04 12:53:33.223140496,1858.1300048828125
1996-10-04 02:10:54.545454544,2025.8299560546875
1997-01-03 15:28:15.867768608,2061.43994140625
1997-04-05 04:45:37.190082656,2360.260009765625
1997-07-05 18:02:58.512396704,2539.530029296875
1997-10-05 07:20:19.834710752,2607.3701171875
1998-01-04 20:37:41.157024800,2863.840087890625
1998-04-06 09:55:02.479338848,2877.81005859375
1998-07-06 23:12:23.801652896,2510.699951171875
1998-10-06 12:29:45.123966944,2870.830078125
1999-01-06 01:47:06.446280992,2981.06005859375
1999-04-07 15:04:27.768595040,3262.989990234375
1999-07-08 04:21:49.090909088,3013.010009765625
1999-10-07 17:39:10.413223136,3214.3798828125
2000-01-07 06:56:31.735537216,3081.14990234375
2000-04-07 20:13:53.057851264,2990.840087890625
2000-07-08 09:31:14.380165312,3173.9599609375
2000-10-07 22:48:35.702479360,3317.610107421875
2001-01-07 12:05:57.024793408,3059.969970703125
2001-04-09 01:23:18.347107456,3142.75
2001-07-09 14:40:39.669421504,2599.47998046875
2001-10-09 03:58:00.991735552,2892.22998046875
2002-01-08 17:15:22.314049600,3045.919921875
2002-04-10 06:32:43.636363648,2743.760009765625
2002-07-10 19:50:04.958677696,2212.139892578125
2002-10-10 09:07:26.280991744,2374.9599609375
2003-01-09 22:24:47.603305792,2257.89990234375
2003-04-11 11:42:08.925619840,2576.22998046875
2003-07-12 00:59:30.247933888,2691.35009765625
2003-10-11 14:16:51.570247936,3000.75
2004-01-11 03:34:12.892561984,2984.5400390625
2004-04-11 16:51:34.214876032,3072.25
2004-07-12 06:08:55.537190080,3058.469970703125
2004-10-11 19:26:16.859504128,3395.820068359375
2005-01-11 08:43:38.181818176,3373.18994140625
2005-04-12 22:00:59.504132224,3330.929931640625
2005-07-13 11:18:20.826446272,3538.8701171875
2005-10-13 00:35:42.148760320,3638.06005859375
2006-01-12 13:53:03.471074432,3776.510009765625
2006-04-14 03:10:24.793388480,3931.590087890625
2006-07-14 16:27:46.115702528,3911.219970703125
2006-10-14 05:45:07.438016576,4120.9599609375
2007-01-13 19:02:28.760330624,4252.52978515625
2007-04-15 08:19:50.082644672,4497.85986328125
2007-07-15 21:37:11.404958720,4510.85986328125
2007-10-15 10:54:32.727272768,4394.0498046875
2008-01-15 00:11:54.049586816,4196.93994140625
2008-04-15 13:29:15.371900864,4161.9599609375
2008-07-16 02:46:36.694214912,3829.0400390625
2008-10-15 16:03:58.016528960,3086.070068359375
2009-01-15 05:21:19.338843008,2587.239990234375
2009-04-16 18:38:40.661157056,2925.47998046875
2009-07-17 07:56:01.983471104,3327.8701171875
2009-10-16 21:13:23.305785152,3566.679931640625
2010-01-16 10:30:44.628099200,3679.02001953125
2010-04-17 23:48:05.950413248,3357.5400390625
2010-07-18 13:05:27.272727296,3735.800048828125
2010-10-18 02:22:48.595041344,4033.18994140625
2011-01-17 15:40:09.917355392,4228.419921875
2011-04-19 04:57:31.239669440,4309.56005859375
2011-07-19 18:14:52.561983488,3742.60009765625
2011-10-19 07:32:13.884297536,4232.169921875
2012-01-18 20:49:35.206611584,4460.52978515625
2012-04-19 10:06:56.528925696,4427.419921875
2012-07-19 23:24:17.851239680,4441.7001953125
2012-10-19 12:41:39.173553792,4442.06982421875
2013-01-19 01:59:00.495867776,5036.93994140625
2013-04-20 15:16:21.818181888,5034.66015625
2013-07-21 04:33:43.140495872,5166.60986328125
2013-10-20 17:51:04.462809984,5641.5498046875
2014-01-20 07:08:25.785123968,5725.85009765625
2014-04-21 20:25:47.107438080,6009.93994140625
2014-07-22 09:43:08.429752064,6063.43994140625
2014-10-21 23:00:29.752066176,6473.60009765625
2015-01-21 12:17:51.074380160,6328.1201171875
2015-04-23 01:35:12.396694272,6096.22021484375
2015-07-23 14:52:33.719008256,5812.93017578125
2015-10-23 04:09:55.041322368,5978.33984375
2016-01-22 17:27:16.363636352,6275.60009765625
2016-04-23 06:44:37.685950464,6303.43994140625
2016-07-23 20:01:59.008264448,6424.8701171875
2016-10-23 09:19:20.330578560,6902.4501953125
2017-01-22 22:36:41.652892544,7155.81982421875
2017-04-24 11:54:02.975206656,7402.2998046875
2017-07-25 01:11:24.297520640,7711.1201171875
2017-10-24 14:28:45.619834752,8310.349609375
2018-01-24 03:46:06.942148864,8092.52978515625
2018-04-25 17:03:28.264462848,8146.0498046875
2018-07-26 06:20:49.586776960,8810.240234375
2018-10-25 19:38:10.909090944,7710.43994140625
2019-01-25 08:55:32.231405056,8598.4599609375
2019-04-26 22:12:53.553719040,8796.830078125
2019-07-27 11:30:14.876033152,8961.150390625
2019-10-27 00:47:36.198347136,9386.48046875
2020-01-26 14:04:57.520661248,7221.2099609375
2020-04-27 03:22:18.842975232,8292.0703125
2020-07-27 16:39:40.165289344,9190.9501953125
2020-10-27 05:57:01.487603328,10108.7099609375
2021-01-26 19:14:22.809917440,11051.169921875
2021-04-28 08:31:44.132231424,11395.4501953125
2021-07-28 21:49:05.454545536,11080.33984375
2021-10-28 11:06:26.776859520,12266.849609375
2022-01-28 00:23:48.099173632,12000.3203125
2022-04-29 13:41:09.421487616,10449.6103515625
2022-07-30 02:58:30.743801728,9679.490234375
2022-10-29 16:15:52.066115712,10962.830078125
2023-01-29 05:33:13.388429824,11163.8095703125
2023-04-30 18:50:34.710743808,11563.0400390625
2023-07-31 08:07:56.033057920,11120.150390625
2023-10-30 21:25:17.355371904,12249.9697265625
2024-01-30 10:42:38.677686016,12735.740234375
2024-05-01 00:00:00.000000000,12412.9599609375
