DATE,NGDPRSAXDCBRQ
1996-01-01,175747.9
1996-04-01,177234.8
1996-07-01,184115.8
1996-10-01,182292.1
1997-01-01,183937.7
1997-04-01,185607.5
1997-07-01,187565.8
1997-10-01,189084.0
1998-01-01,185662.6
1998-04-01,188337.7
1998-07-01,188495.4
1998-10-01,186330.9
1999-01-01,186906.0
1999-04-01,187512.2
1999-07-01,187628.7
1999-10-01,190342.1
2000-01-01,192456.8
2000-04-01,194936.7
2000-07-01,197491.6
2000-10-01,200018.3
2001-01-01,200443.3
2001-04-01,199438.9
2001-07-01,198626.3
2001-10-01,197952.5
2002-01-01,202241.8
2002-04-01,203989.3
2002-07-01,206024.1
2002-10-01,208261.0
2003-01-01,207507.3
2003-04-01,205533.1
2003-07-01,207338.1
2003-10-01,209666.1
2004-01-01,212727.8
2004-04-01,218444.0
2004-07-01,220935.7
2004-10-01,222879.6
2005-01-01,224325.7
2005-04-01,228091.2
2005-07-01,225635.0
2005-10-01,228949.1
2006-01-01,232704.7
2006-04-01,233193.8
2006-07-01,236997.1
2006-10-01,240049.8
2007-01-01,244676.1
2007-04-01,248375.2
2007-07-01,251012.0
2007-10-01,254797.9
2008-01-01,257614.6
2008-04-01,264095.6
2008-07-01,267380.8
2008-10-01,257418.8
2009-01-01,254371.0
2009-04-01,258260.7
2009-07-01,264398.1
2009-10-01,271194.9
2010-01-01,277593.5
2010-04-01,280207.8
2010-07-01,282841.5
2010-10-01,286819.4
2011-01-01,291513.2
2011-04-01,293502.2
2011-07-01,293027.3
2011-10-01,295930.5
2012-01-01,292109.4
2012-04-01,296583.2
2012-07-01,302141.3
2012-10-01,301905.4
2013-01-01,303151.1
2013-04-01,308715.7
2013-07-01,309236.2
2013-10-01,309696.6
2014-01-01,313033.6
2014-04-01,307500.5
2014-07-01,307567.5
2014-10-01,309136.7
2015-01-01,307401.6
2015-04-01,299237.8
2015-07-01,294574.5
2015-10-01,292303.3
2016-01-01,287553.0
2016-04-01,289750.8
2016-07-01,287355.3
2016-10-01,287259.9
2017-01-01,290348.2
2017-04-01,292148.2
2017-07-01,293360.4
2017-10-01,294896.8
2018-01-01,295679.8
2018-04-01,297003.8
2018-07-01,299268.6
2018-10-01,298171.8
2019-01-01,299613.4
2019-04-01,300658.3
2019-07-01,300969.1
2019-10-01,303447.6
2020-01-01,296841.8
2020-04-01,270265.2
2020-07-01,291851.6
2020-10-01,302549.5
2021-01-01,305726.9
2021-04-01,303637.6
2021-07-01,304221.9
2021-10-01,307144.3
2022-01-01,310150.6
2022-04-01,314178.4
2022-07-01,317484.6
2022-10-01,317114.0
2023-01-01,321679.6
2023-04-01,324847.7
2023-07-01,325317.2
