DATE,MKTGDPCNA646NWDB
1990-01-01,394565747349.055
1991-01-01,413375445354.473
1992-01-01,493136961883.002
1993-01-01,619111946511.628
1994-01-01,564321854521.013
1995-01-01,734484834573.582
1996-01-01,863749314718.538
1997-01-01,961601980984.623
1998-01-01,1029060747620.65
1999-01-01,1094010482677.39
2000-01-01,1211331651829.85
2001-01-01,1339400897153.44
2002-01-01,1470557654824.11
2003-01-01,1660280543870.95
2004-01-01,1955346768757.64
2005-01-01,2285961149904.26
2006-01-01,2752118657221.64
2007-01-01,3550327803024.69
2008-01-01,4594336785752.06
2009-01-01,5101691124358.41
2010-01-01,6087191746738.57
2011-01-01,7551545703518.14
2012-01-01,8532185381696.43
2013-01-01,9570471111847.82
2014-01-01,10475624944290.1
2015-01-01,11061572618594.8
2016-01-01,11233313730288.5
2017-01-01,12310491333980.9
2018-01-01,13894907857925.9
2019-01-01,14279968506242.8
2020-01-01,14687744162801.0
2021-01-01,17820459508852.2
2022-01-01,17963171479205.3
