DATE,NGDPRNSAXDCINQ
2004-04-01,11733600.0
2004-07-01,11859400.0
2004-10-01,13303400.0
2005-01-01,13824500.0
2005-04-01,12815900.0
2005-07-01,12860700.0
2005-10-01,14497100.0
2006-01-01,15256400.0
2006-04-01,13765000.0
2006-07-01,14177500.0
2006-10-01,15871100.0
2007-01-01,16751500.0
2007-04-01,15253000.0
2007-07-01,15473400.0
2007-10-01,17545100.0
2008-01-01,18229900.0
2008-04-01,16486000.0
2008-07-01,16515600.0
2008-10-01,17814300.0
2009-01-01,18272900.0
2009-04-01,17309300.0
2009-07-01,17664900.0
2009-10-01,19277100.0
2010-01-01,20696300.0
2010-04-01,19091100.0
2010-07-01,19374700.0
2010-10-01,21337900.0
2011-01-01,22833400.0
2011-04-01,21028600.0
2011-07-01,20428700.0
2011-10-01,22251400.0
2012-01-01,23654600.0
2012-04-01,22052200.0
2012-07-01,21959500.0
2012-10-01,23447700.0
2013-01-01,24670800.0
2013-04-01,23474000.0
2013-07-01,23570800.0
2013-10-01,24980000.0
2014-01-01,25989000.0
2014-04-01,25357500.0
2014-07-01,25622400.0
2014-10-01,26459500.0
2015-01-01,27837300.0
2015-04-01,27282800.0
2015-07-01,27680900.0
2015-10-01,28363900.0
2016-01-01,30367400.0
2016-04-01,29650900.0
2016-07-01,30357600.0
2016-10-01,30796200.0
2017-01-01,32277300.0
2017-04-01,31463400.0
2017-07-01,31972000.0
2017-10-01,32849900.0
2018-01-01,35160600.0
2018-04-01,33823000.0
2018-07-01,34036400.0
2018-10-01,34897600.0
2019-01-01,37172100.0
2019-04-01,35546400.0
2019-07-01,35499500.0
2019-10-01,36033800.0
2020-01-01,38266800.0
2020-04-01,27240200.0
2020-07-01,33467300.0
2020-10-01,36605800.0
2021-01-01,39557800.0
2021-04-01,33110500.0
2021-07-01,36516600.0
2021-10-01,38507700.0
2022-01-01,41123600.0
2022-04-01,37442900.0
2022-07-01,38780000.0
2022-10-01,40226300.0
2023-01-01,43615100.0
2023-04-01,40371400.0
2023-07-01,41743100.0
