DATE,JPNNGDP
1994-01-01,510129.3
1994-04-01,509026.0
1994-07-01,512987.5
1994-10-01,511556.8
1995-01-01,514942.3
1995-04-01,518767.0
1995-07-01,525381.3
1995-10-01,526998.5
1996-01-01,529045.0
1996-04-01,536026.8
1996-07-01,536126.6
1996-10-01,541115.8
1997-01-01,542199.5
1997-04-01,544054.3
1997-07-01,544030.9
1997-10-01,544947.2
1998-01-01,538021.6
1998-04-01,534795.0
1998-07-01,533906.7
1998-10-01,539274.0
1999-01-01,529087.5
1999-04-01,529004.6
1999-07-01,528597.0
1999-10-01,527859.7
2000-01-01,535132.0
2000-04-01,535355.1
2000-07-01,534440.6
2000-10-01,537844.5
2001-01-01,542550.5
2001-04-01,534260.6
2001-07-01,527021.8
2001-10-01,523927.1
2002-01-01,525459.0
2002-04-01,524248.8
2002-07-01,524189.4
2002-10-01,524419.2
2003-01-01,521370.5
2003-04-01,524533.5
2003-07-01,524371.0
2003-10-01,526397.0
2004-01-01,529365.1
2004-04-01,527649.5
2004-07-01,530486.7
2004-10-01,529911.1
2005-01-01,529918.7
2005-04-01,531329.0
2005-07-01,534599.1
2005-10-01,534740.6
2006-01-01,534539.6
2006-04-01,533994.8
2006-07-01,532260.1
2006-10-01,539907.2
2007-01-01,541954.0
2007-04-01,542053.6
2007-07-01,536487.8
2007-10-01,536812.0
2008-01-01,537603.6
2008-04-01,533622.4
2008-07-01,523204.3
2008-10-01,516917.4
2009-01-01,492243.1
2009-04-01,497869.4
2009-07-01,493589.3
2009-10-01,496510.0
2010-01-01,501495.5
2010-04-01,504960.3
2010-07-01,510916.2
2010-10-01,505352.1
2011-01-01,498626.2
2011-04-01,490692.5
2011-07-01,501069.6
2011-10-01,500325.2
2012-01-01,507373.7
2012-04-01,500179.0
2012-07-01,497583.2
2012-10-01,497318.3
2013-01-01,502854.4
2013-04-01,507535.8
2013-07-01,512909.4
2013-10-01,512584.2
2014-01-01,516494.2
2014-04-01,517913.2
2014-07-01,518296.0
2014-10-01,522185.6
2015-01-01,534614.2
2015-04-01,538222.2
2015-07-01,539909.3
2015-10-01,539374.9
2016-01-01,545148.2
2016-04-01,543476.7
2016-07-01,543563.5
2016-10-01,544594.9
2017-01-01,547478.8
2017-04-01,550786.7
2017-07-01,557047.4
2017-10-01,556910.8
2018-01-01,558094.7
2018-04-01,559173.5
2018-07-01,555308.7
2018-10-01,553666.5
2019-01-01,558361.1
2019-04-01,561140.8
2019-07-01,561456.3
2019-10-01,550384.4
2020-01-01,554138.7
2020-04-01,514002.5
2020-07-01,540496.0
2020-10-01,549520.8
2021-01-01,550967.5
2021-04-01,554087.7
2021-07-01,550553.3
2021-10-01,555585.4
2022-01-01,554854.0
2022-04-01,560266.2
2022-07-01,557280.5
2022-10-01,568061.1
2023-01-01,580515.8
2023-04-01,595405.4
2023-07-01,594492.3
2023-10-01,598438.7
2024-01-01,598963.1
