DATE,NGDPRSAXDCMXQ
1993-01-01,3449919.7
1993-04-01,3451166.0
1993-07-01,3491260.3
1993-10-01,3513116.2
1994-01-01,3548012.7
1994-04-01,3628872.6
1994-07-01,3649282.5
1994-10-01,3688522.2
1995-01-01,3518736.8
1995-04-01,3306751.0
1995-07-01,3377292.2
1995-10-01,3454526.4
1996-01-01,3534998.6
1996-04-01,3573193.5
1996-07-01,3625600.5
1996-10-01,3740432.0
1997-01-01,3754249.3
1997-04-01,3841296.0
1997-07-01,3922559.0
1997-10-01,4032958.0
1998-01-01,4094378.5
1998-04-01,4124483.3
1998-07-01,4145120.9
1998-10-01,4152151.2
1999-01-01,4188060.6
1999-04-01,4219407.9
1999-07-01,4259691.4
1999-10-01,4301949.3
2000-01-01,4391390.2
2000-04-01,4446569.2
2000-07-01,4495797.8
2000-10-01,4444667.1
2001-01-01,4472435.7
2001-04-01,4439761.5
2001-07-01,4430958.3
2001-10-01,4392314.6
2002-01-01,4365789.4
2002-04-01,4410434.6
2002-07-01,4453511.3
2002-10-01,4462817.3
2003-01-01,4460000.1
2003-04-01,4467854.0
2003-07-01,4469309.2
2003-10-01,4509982.5
2004-01-01,4569718.1
2004-04-01,4631243.9
2004-07-01,4627380.4
2004-10-01,4676900.4
2005-01-01,4688364.2
2005-04-01,4686420.5
2005-07-01,4735833.4
2005-10-01,4823565.8
2006-01-01,4917429.7
2006-04-01,4961233.5
2006-07-01,4973408.9
2006-10-01,4990872.6
2007-01-01,5025086.9
2007-04-01,5059450.7
2007-07-01,5077616.6
2007-10-01,5089533.7
2008-01-01,5091914.2
2008-04-01,5124547.7
2008-07-01,5131142.5
2008-10-01,5048660.7
2009-01-01,4736155.5
2009-04-01,4660176.9
2009-07-01,4827737.1
2009-10-01,4931766.3
2010-01-01,4951295.1
2010-04-01,5010376.6
2010-07-01,5054553.1
2010-10-01,5095408.4
2011-01-01,5129291.2
2011-04-01,5151819.5
2011-07-01,5243518.9
2011-10-01,5281300.3
2012-01-01,5332349.7
2012-04-01,5368927.4
2012-07-01,5378388.7
2012-10-01,5420404.2
2013-01-01,5426903.8
2013-04-01,5403127.6
2013-07-01,5436949.7
2013-10-01,5463887.2
2014-01-01,5498864.4
2014-04-01,5571786.7
2014-07-01,5579606.0
2014-10-01,5627030.1
2015-01-01,5653191.6
2015-04-01,5705286.4
2015-07-01,5771612.7
2015-10-01,5753528.5
2016-01-01,5752634.6
2016-04-01,5770905.6
2016-07-01,5824610.8
2016-10-01,5887708.2
2017-01-01,5925644.6
2017-04-01,5931156.2
2017-07-01,5895284.1
2017-10-01,5971346.2
2018-01-01,6053910.8
2018-04-01,6027483.9
2018-07-01,6058083.0
2018-10-01,6048807.8
2019-01-01,6056533.9
2019-04-01,6048506.7
2019-07-01,6036597.0
2019-10-01,5987686.1
2020-01-01,5916531.9
2020-04-01,4790601.2
2020-07-01,5527720.7
2020-10-01,5766254.9
2021-01-01,5793340.9
2021-04-01,5833636.0
2021-07-01,5810666.6
2021-10-01,5875623.7
2022-01-01,5966746.5
2022-04-01,6025945.3
2022-07-01,6099386.1
2022-10-01,6140719.8
2023-01-01,6175740.9
2023-04-01,6233461.4
2023-07-01,6279974.8
2023-10-01,6286254.8
